Label,Description
Economic Challenge,Ride-hailing rental startup Splend to transition Australian car fleet to electric
Environmental Concern,"Last thing we need is a 'cosy consensus' on climate crisis, warns Ed Miliband"
Economic Advantage,Leading the charge: how the hospitality sector is building Australia's EV network
Environmental Benefit,UK slashes grants for electric car buyers while retaining petrol vehicle support
Environmental Concern,Why Japan's carmaking heavyweights could be facing an electric shock
Economic Advantage,We must do more to drive the uptake of electric vehicles in Australia
Environmental Benefit,Foxconn says it might revive Wisconsin plant to make electric cars
Economic Challenge,Elon Musk’s Tesla lobbied UK to raise tax on petrol and diesel
Environmental Concern,New US vehicles must be electric by 2030 to meet climate goals – report
Economic Challenge,"Australia lags the world on electric vehicle choice and it's hurting take-up, industry says"
Environmental Benefit,Volvo says it will make only electric cars by 2030
Environmental Benefit,"Plug-in hybrid cars burn more fuel than tests record, says Which?"
Environmental Concern,Fossil fuel cars make 'hundreds of times' more waste than electric cars
Environmental Benefit,'All the bones are there': could a new electric vehicle be built in Australia? 
Environmental Benefit,SUVs and extra traffic cancelling out electric car gains in Britain
Environmental Benefit,Driverless electric bus hits the road in Spanish city of Málaga
Economic Challenge,Electric busmaker Arrival schedules first UK road trial
Environmental Concern,Australia risks being left behind in petrol-fuelled 'parallel world' as other countries embrace electric cars
Environmental Benefit,Ford plans for all cars sold in Europe to be electric by 2030
Economic Challenge,Coventry to seek planning permission for electric car battery 'gigafactory'
Environmental Benefit,JLR to make Jaguar brand electric-only by 2025
Environmental Concern,Australia's electric vehicle policy steers us to a future based on fossil fuels. It needs to be dumped
Environmental Benefit,'Do-nothing document': Australian electric vehicle strategy lets emissions keep rising
Environmental Benefit,"Make oil firms install electric car chargers in petrol stations, says thinktank"
Environmental Concern,Pollutionwatch: how smart braking could help cut electric car emissions
Environmental Benefit,General Motors announces plan for all-electric lineup by 2035
Economic Challenge,Ovo to launch 'half-price' electric vehicle charging tariff
Environmental Benefit,Electric cars are not the only green solution
Environmental Benefit,"Net zero, saving koalas and forest wars: the crucial environment battles looming in Australia"
Environmental Benefit,The Guardian view on electric cars: greener roads are good
Economic Challenge,Electric vehicles close to ‘tipping point’ of mass adoption
Environmental Benefit,Global sales of electric cars accelerate fast in 2020 despite pandemic
Environmental Benefit,Electric car batteries with five-minute charging times produced
Environmental Concern,The curse of 'white oil': electric vehicles' dirty secret – podcast
Environmental Concern,Norway's electric car drive belies national reliance on fossil fuels
Economic Advantage,Electric cars rise to record 54% market share in Norway
Economic Challenge,'He's a risk-taker': Germans divided over Elon Musk's new GigaFactory
Environmental Benefit,UK carmakers have three years to source local electric car batteries
Economic Challenge,"Tesla almost hits 500,000-car delivery target for 2020 despite pandemic"
Economic Challenge,UK public transport downturn to continue after pandemic ends
Economic Challenge,"There is hope on the horizon, but high debt hangs over Britain's future"
Environmental Concern,Coalition accused of wasting 18 months on 'nothing' electric vehicle strategy
Environmental Benefit,"Electric cars are not perfect, but they are a good start"
Economic Advantage,I am the world’s nicest driver – but in an SUV I am treated like a pariah
Environmental Benefit,Australian states were warned road user tax on electric vehicles could discourage uptake
Economic Challenge,Toyota will not invest in electric cars in UK until after 2027
Environmental Benefit,UK's first all-electric car charging forecourt opens in Essex
Economic Advantage,"Best tech of 2020: an eco vacuum, electric car and a £12 kettle"
Economic Challenge,Aston Martin to hold internal inquiry after 'sockpuppet PR firm' row
Environmental Benefit,"More than 500,000 full electric cars sold so far this year in Europe"
Environmental Concern,Aston Martin in row over 'sock puppet PR firm' pushing anti-electric vehicle study
Economic Challenge,CMA seeks to build UK consumer trust in electric car charging
Environmental Concern,Why Australia has no clear policy on electric vehicles
Economic Challenge,‘Why did it take nine hours to go 130 miles in our new electric Porsche?’
Environmental Benefit,"Victoria's electric vehicle tax could reduce clean car sales by 25%, researcher says"
Economic Challenge,Regional disparities in electric car-charging points revealed
Economic Challenge,Tax on electric vehicles in South Australia and Victoria would slam brakes on sales
Economic Challenge,A £4bn UK 'mini Tesla' choosing to list stock in US is worrying
Environmental Benefit,The Guardian view on Johnson's green jobs plan: the right way to start
Economic Advantage,"Halfords to train 1,500 extra technicians to work on electric cars, bikes and scooters"
Environmental Benefit,Is £12bn enough to get UK on track for net zero carbon emissions?
Environmental Concern,UK ban on new fossil fuel vehicles by 2030 'not enough' to hit climate targets
Economic Challenge,Road pricing could offset loss of fuel duty from electric cars
Environmental Concern,UK expected to ban sale of new petrol and diesel cars from 2030
Environmental Concern,South Australia's new tax on electric vehicles ridiculed as 'a big tax on not polluting'
Economic Challenge,Bentley is leading the charge to batteries. British carmakers must join it
Environmental Benefit,Bentley to stop making petrol cars by 2030 and go fully electric
Economic Advantage,Electric cars 'as cheap to manufacture' as regular models by 2024
Economic Challenge,Uber pledges £5m toward electric vehicle charging points in London
Environmental Concern,Electric cars are running on empty
Economic Challenge,Are electric cars on a road to nowhere?
Economic Challenge,California governor orders ban on sale of gas-only cars within 15 years
Environmental Concern,UK plans to bring forward ban on fossil fuel vehicles to 2030
Economic Challenge,Sober investors hope to get a buzz from Tesla’s 'battery day'
Environmental Benefit,Lithium find in Cornwall spurs hopes of regeneration
Economic Challenge,"Petrol and diesel cars could cost up to £1,500 more under proposals"
Environmental Benefit,AGL bets on electric vehicles subscription service to boost Australia's uptake
Economic Challenge,Battery swaps could electrify e-car sales
Economic Challenge,Higher price of electric cars a concern for more than half of UK consumers
Economic Advantage,Electric vehicle sales triple in Australia despite lack of government support
Environmental Concern,Moderate Tories join greens to call for fossil fuel car ban by 2030
Environmental Concern,Northern Ireland to be left out of new UK car emission restrictions
Economic Challenge,Electric cars have few downsides except price. One company is looking to change that
Environmental Benefit,The Green Recovery: how to put more electric vehicles on Australia's roads – video
Economic Advantage,"'E-highways' could slash UK road freight emissions, says study"
Economic Advantage,"Electric cars: five best buys, from new models to used bargains"
Economic Advantage,From dusted-off bikes to electric dreams: UK green economy booms on back of Covid-19
Environmental Benefit,E-scooters go on trial in Middlesbrough to aid UK’s green recovery
Environmental Benefit,Australia could create hundreds of thousands of jobs by accelerating shift to zero emissions – report
Economic Advantage,UK electric buses boosted by innovative £20m battery deal
Economic Advantage,‘There is an opportunity to craft a new status quo’: the women engineers at the forefront of EV tech
Environmental Concern,"Britain still failing on climate crisis, warn advisers"
Environmental Benefit,UK car industry pushes for scrappage scheme to help buy new petrol and diesel vehicles
Economic Advantage,Electric cars gain market share in Europe despite Covid-19 crisis
Environmental Benefit,'A new normal': how coronavirus will transform transport in Britain's cities
Environmental Benefit,Norway and the A-ha moment that made electric cars the answer
Environmental Benefit,"Electric cars produce less CO2 than petrol vehicles, study confirms"
Economic Challenge,Are flying taxis ready for lift-off?
Environmental Concern,ExxonMobil 'tried to get European Green Deal watered down'
Environmental Benefit,British Gas and VW unveil three-year electric vehicle deal
Economic Challenge,"Spend £8bn to kickstart plan to decarbonise economy, chancellor told"
Environmental Concern,Hybrid carmakers accused of 'con' over zero-emissions claims
Environmental Benefit,Trent Zimmerman backs net zero emissions target but foresees more Coalition infighting
Environmental Concern,"UK could ban sale of petrol and diesel cars in 12 years, says Shapps"
Economic Advantage,Profits at Mercedes-Benz owner Daimler slump by €5bn
Environmental Concern,Car industry: PM has 'moved goalposts' over petrol and diesel ban
Economic Challenge,Car industry could see price war on hybrid vehicles in 2020
Economic Challenge,Elon Musk set to cash in at Tesla as deliveries and shares soar
Economic Challenge,UK electric van maker Arrival secures £85m from Kia and Hyundai
Environmental Concern,"Polluting vehicles could be pulled from UK sale, say carmakers"
Environmental Concern,Average CO2 emissions of cars sold in UK up for third year in row
Environmental Concern,Environmentally friendly electric cars: the pedestrian’s enemy?
Environmental Concern,The Guardian view on car culture: change is coming
Economic Advantage,"2020 set to be year of the electric car, say industry analysts"
Environmental Benefit,Labour vows to electrify England's entire bus fleet by 2030
Environmental Concern,New car sales fall again as UK demand for diesel vehicles dives
Economic Challenge,"Daimler to axe at least 10,000 jobs worldwide"
Environmental Benefit,"Yes, electric vehicles really are better than fossil fuel burners"
Environmental Benefit,Are electric vehicles really so climate friendly?
Environmental Benefit,Cybertruck: Tesla unveils new pickup truck but windows break during demo
Environmental Concern,Wrong turn: why Australia's vehicle emissions are rising
Economic Challenge,"Mercedes-Benz to axe more than 1,000 jobs in cost-cutting drive"
Economic Challenge,The Guardian view on trade after Brexit: a new cliff edge looms
Environmental Benefit,Helping electric car drivers’ eyes light up
Environmental Concern,"Australia's climate response among the worst in the G20, report finds"
Economic Challenge,Questions raised over UK's state-backed fund for electric car charging
Economic Challenge,I need help trying to plug into the costs of charging electric cars
Environmental Benefit,Wales has lowest number of electric car chargers per head in UK
Environmental Benefit,"Electric cars could be charged in 10 minutes in future, finds research"
Economic Advantage,"Electric cars: the good, the bad and the costly"
Environmental Benefit,First 100% electric black cab for 120 years launches in London
Economic Advantage,"At Ofgem, we ensure funding is justified"
Environmental Benefit,Electric cars to get green number plates under government plan
Environmental Concern,Energy watchdog accused of stalling electric vehicle rollout
Economic Advantage,UK plans to accelerate decarbonisation of transport sector
Economic Advantage,James Dyson scraps plans to build electric car
Economic Challenge,Powering ahead: six new ways to charge an electric car
Economic Challenge,Is it just laziness that stops me from switching to an electric car?
Economic Challenge,"Electric cars: you can now find used deals for less than £7,000"
Economic Challenge,Electric cars: call for tax on road usage to cover lost fuel revenue
Environmental Concern,Volkswagen emissions scandal: mass lawsuit opens in Germany
Economic Advantage,Labour to commit to big increase in charging points for electric cars
Environmental Concern,California vows fightback after Trump voids state's right to set emissions rules
Environmental Benefit,Road transport emissions up since 1990 despite efficiency drive
Environmental Benefit,ACT plans far-reaching electrification of vehicles and homes in drive to reduce emissions
Environmental Concern,Pollutionwatch: how skilful driving can reduce toxic fumes
Environmental Concern,"Four wheels bad, but three sehr gut. Germans climb aboard cargo bikes"
Environmental Benefit,Dundee's green revolution: council-run charging hubs and electric cabs
Environmental Benefit,"Half of all new cars sold in Australia by 2035 will be electric, forecast predicts"
Environmental Concern,"Raise car fuel prices to fight air pollution, says rightwing thinktank"
Economic Challenge,UK economy under worst strain for seven years as car sales slump
Environmental Benefit,Taking a Toto trip in West Bengal: an electric rickshaw adventure ride
Economic Advantage,"Silent, no gears and cheaper every day: electric cars aren't so hard to get used to"
Environmental Concern,Exploring the Yorkshire Dales by electric campervan
Environmental Benefit,No 10 hands Jaguar Land Rover £500m loan guarantee to develop electric cars
Environmental Benefit,Electric cars could form battery hubs to store renewable energy
Environmental Benefit,British Gas and SSE to purge petrol and diesel from fleets by 2030
Economic Challenge,"UK car industry future hinges 'not on Brexit, but on batteries'"
Economic Challenge,Subsidy cuts blamed for fall in UK sales of electrified vehicles
Environmental Benefit,BMW aims to double electric and hybrid sales in next two years
Economic Challenge,"Should I buy an electric car? All you need to know about prices, technology and range"
Environmental Benefit,The Guardian view on net zero emissions: better late than never
Environmental Benefit,Jaguar Land Rover teams up with BMW to produce electric cars
Environmental Benefit,Standardise batteries on electric vehicles
Environmental Benefit,"A 99, sprinkles and no diesel: here come the electric ice-cream vans…"
Environmental Benefit,Jump-start the electric revolution
Environmental Concern,Electric vehicle drivers at risk by charging from home mains supply
Economic Advantage,Eco-friendly modes of transport for all
Economic Challenge,Fiat Chrysler and Renault expected to announce tie-up talks
Environmental Concern,BHP warns investors coal could be phased out 'sooner than expected'
Environmental Benefit,Electric 'flying taxi' prototype unveiled by German start-up
Environmental Concern,The climate change election: where do the parties stand on the environment?
Economic Challenge,Consumers apply the brakes to UK new car sales
Environmental Concern,The Guardian view on ice-cream vans: shame about the pollution
Environmental Concern,Ford under criminal investigation in US over auto emissions
Environmental Benefit,Tesla Model 3 to go on sale in UK next week
Economic Challenge,Poll shows 50% of Australians support shifting all sales of new cars to electric vehicles by 2025
Environmental Concern,Sky News at war as Paul Murray and Kieran Gilbert trade blows: 'Let's get into it'
Environmental Concern,Hyundai warns of 'fear-mongering' over electric cars in Australia election
Economic Advantage,Toyota distances itself from Liberal ads falsely claiming Labor wants to tax cars
Environmental Benefit,"Coalition 'tying themselves in knots' on electric vehicles, Mike Cannon-Brookes says"
Economic Advantage,Electric cars: separating the facts from the propaganda
Economic Challenge,'Shorten wants to end the weekend': Morrison attacks Labor's electric vehicle policy
Environmental Concern,Dirty lies: how the car industry hid the truth about diesel emissions – podcast
Economic Advantage,Follow Sarah Storey’s lead on e-bike promotion
Environmental Concern,Greens blast key part of Labor's climate policy as 'fake action'
Environmental Concern,Labor's climate change policy explained: here's what we know
Environmental Benefit,50% of new cars to be electric vehicles by 2030 under Labor climate change policy
Environmental Concern,'Woefully dirty': government accused over Australia's failure to cut vehicle emissions
Environmental Concern,Dieselgate and the unintended consequences of anti-idling drive
Environmental Concern,Dirty lies: how the car industry hid the truth about diesel emissions
Environmental Concern,Deadly air in our cities: the invisible killer
Economic Challenge,Going car-less in the country can be hard
Environmental Benefit,Councils stall on adding charging points for electric vehicles
Environmental Benefit,James Bond to drive electric Aston Martin in new movie
Economic Challenge,"Geneva motor show: Brexit, electric cars and luxury dominate agenda"
Economic Challenge,UK car sales recover slightly after five months of decline
Economic Challenge,Honda’s closure? It’s down to government failure to champion electric cars
Economic Advantage,"Electric cars are already cheaper to own and run, says study"
Economic Challenge,"'Among the worst in OECD': Australia's addiction to cheap, dirty petrol"
Environmental Concern,'What about the plug?' Australia's electric car infrastructure stalled by policy paralysis
Environmental Concern,'They've done nothing': fuel emissions taskforce accused of 'apathy'
Economic Challenge,Road to nowhere: why Australia lags behind in electric vehicle revolution
Environmental Benefit,"Australia’s paltry electric car uptake will cost health, jobs and environment – report"
Economic Advantage,"Dutch man's epic 89,000km drive proves electric cars are viable in Australia"
Economic Challenge,"Tesla to cut more than 3,000 jobs because cars 'still too expensive'"
Economic Advantage,Stricken carmakers stall at the crossroads of a radical future
Environmental Benefit,Shenzhen's silent revolution: world's first fully electric bus fleet quietens Chinese megacity
Economic Challenge,Big on batteries: government finally seizes on lithium-ion potential
Environmental Benefit,Shell starts rollout of ultrafast electric car chargers in Europe
Environmental Benefit,Uber to introduce clean air fee to all London rides
Environmental Concern,MPs call for ban on petrol and diesel car sales by 2032
Economic Advantage,"Scrapping UK grants for hybrid cars 'astounding', says industry"
Environmental Concern,The Trump administration has entered Stage 5 climate denial
Environmental Concern,California plans to show the world how to meet the Paris climate target
Environmental Concern,Electric cars: who to bless and who to blame on the road ahead
Economic Advantage,Electric future? Global push to move away from gas-powered cars
Environmental Concern,The Guardian view on electric cars: stopped by industry inaction
Economic Challenge,How much does it cost to power an electric car around Australia? $150
Economic Challenge,London councils accused of holding up rollout of electric car charging points
Environmental Benefit,Green number plates ‘could boost sales of electric cars’ in UK
Environmental Concern,Battle to clean up the air we breathe
Environmental Benefit,Dyson to expand Wiltshire facility to boost electric-car tests
Environmental Benefit,London boroughs to impose ultra-low emission zones
Environmental Benefit,Electric cars exceed 1m in Europe as sales soar by more than 40%
Environmental Benefit,Kalashnikov takes on Tesla with retro-look electric 'supercar'
Economic Advantage,Powering ahead: the new breed of electric car clubs
Economic Advantage,Electric cars go like clockwork for me
Environmental Benefit,Electric vehicle chargepoint policy leaning on a lamp-post adaptation
Economic Advantage,Electric cars: a long way to go
Economic Advantage,"Cheap material could radically improve battery charging speed, say scientists"
Economic Challenge,UK electric car drivers face paying more to charge at peak times
Economic Challenge,"Tesla to open Shanghai electric car factory, doubling its production"
Economic Challenge,High streets will go on suffering until the digital economy pays more tax
Economic Challenge,Tesla finally hits weekly production target for Model 3 cars
Economic Challenge,What’s put the spark in Norway’s electric car revolution?
Environmental Benefit,BP buys UK's biggest electric car charger network for £130m
Environmental Concern,Pollutionwatch: let's rate exhaust fumes as also a lethal road risk
Environmental Concern,Cross-party MPs say government is dragging feet on air pollution
Environmental Concern,Sales of hybrid cars soar as diesels plunge by nearly a quarter
Environmental Concern,The latest weak attacks on EVs and solar panels
Environmental Benefit,"Yes, EVs are green and global warming is raising sea levels"
Environmental Concern,"California, battered by global warming’s weather whiplash, is fighting to stop it"
Environmental Concern,New law to tackle electric cars’ silent menace to pedestrians
Economic Challenge,Michael Gove leading plan to ban sale of new hybrid cars by 2040
Environmental Concern,Highly charged: complaints as electric car points block city pavements
Economic Challenge,Tesla shares fall more than 7% after company reports record loss
Economic Challenge,Ministers' £400m plan for electric car charging infrastructure delayed
Economic Challenge,UK drives into e-vehicle fast lane with 11% sales rise
Environmental Concern,Tesla factory to be investigated over safety concerns
Economic Challenge,Tesla halts Model 3 production as firm scrambles to improve automation
Environmental Benefit,World's first electrified road for charging vehicles opens in Sweden
Environmental Concern,EPA’s war with California proves America needs a carbon tax
Environmental Benefit,National Grid backs plan for earlier petrol and diesel ban
Environmental Benefit,"Hydrogen-powered transport key to climate targets, says Shell"
Environmental Concern,"Ban new petrol and diesel cars in 2030, not 2040, says thinktank"
Environmental Benefit,Greens electric car push: end sale of petrol and diesel vehicles by 2030
Environmental Concern,Rising threat of transport emissions
Economic Challenge,London black cabs hail Treasury for scrapping car tax
Economic Advantage,No big freeze in electric vehicles
Economic Challenge,Freezing Britain and the chill wind of austerity
Economic Challenge,"Lack of models, not charging points, 'holding back electric car market'"
Environmental Benefit,Energy storage leap could slash electric car charging times
Economic Challenge,Holden Commodore: first foreign model ‘missed opportunity’ to be hybrid
Environmental Benefit,BP to install charging points for electric cars at UK petrol stations
Environmental Benefit,Switching to electric cars is key to fixing America's 'critically insufficient' climate policies
Economic Challenge,Flat fare? Dodgy meter blocks rollout of London's electric cabs
Economic Challenge,Ford to invest $11bn and have 40 hybrid and fully electric vehicles by 2022
Environmental Concern,Murky defence of diesel does Britain’s troubled motor industry no credit
Environmental Benefit,VW is raising its profits forecast. Has it cleared the air over dieselgate already?
Environmental Benefit,Norway leads way on electric cars: 'it’s part of a green taxation shift'
Environmental Benefit,How green are electric cars?
Environmental Benefit,Electric and plug-in hybrid cars whiz past 3m mark worldwide
Environmental Benefit,Switch to electric transport will not lead to surge in power demand
Environmental Concern,BMW electric car ad banned over misleading 'clean car' claims
Economic Advantage,Electric cars already cheaper to own and run than petrol or diesel – study
Environmental Benefit,Treasury backs electric cars but makes limited moves on diesel
Economic Challenge,Breakfast at Tiffany’s is off the menu for me because of its racial stereotyping
Economic Challenge,Tesla Roadster: nine things we know about the 'smackdown to gasoline cars'
Environmental Benefit,Elon Musk unveils Tesla electric truck – and a surprise new sports car
Economic Challenge,Slump in UK car sales deepens as industry records 12% fall
Environmental Benefit,"Electric cars emit 50% less greenhouse gas than diesel, study finds"
Environmental Benefit,UK may consider electric vehicle subsidy to increase cycling
Environmental Benefit,World petrol demand 'likely to peak by 2030 as electric car sales rise'
Environmental Benefit,Oxford aims for world’s first zero emissions zone with petrol car ban
Environmental Benefit,Electric cars key to driving change in UK’s energy supply industry
Economic Advantage,Electric car owners 'can drive for free by letting energy firms use battery'
Environmental Concern,Dyson: industry experts cast doubt on electric car project
Economic Challenge,James Dyson to invest £2.5bn on 'radically different' electric car
Economic Advantage,Rise of the ebike: how going electric could revolutionise your ride
Economic Challenge,Driving force: are electric cars crowding out traditional engines?
Environmental Benefit,Elon Musk: Tesla electric lorry to be unveiled in late October
Environmental Concern,China to ban production of petrol and diesel cars 'in the near future'
Economic Challenge,Uber: London drivers must use hybrid or fully electric cars from 2020
Environmental Benefit,Jaguar Land Rover to make only electric or hybrid cars from 2020
Environmental Benefit,New Nissan Leaf has one-pedal driving mode for both accelerating and braking
Environmental Concern,Jet and lorry fuels made from rubbish to receive UK funding
Environmental Benefit,UK 'can halve oil imports by banning new petrol and diesel cars in 2030'
Environmental Concern,Nickel mining: the hidden environmental cost of electric cars
Environmental Benefit,The eco guide to Electric Vehicle hype
Environmental Concern,Electric cars are not the solution
Economic Advantage,Angela Merkel rival takes aim at German car chiefs
Environmental Benefit,"Rise of electric car solves little if driven by fossil fuels, warns windfarm boss"
Environmental Concern,The rise of electric cars could leave us with a big battery waste problem
Economic Advantage,Time to face up to the electric car revolution
Economic Challenge,Tesla drivers claim Model S distance record of 670 miles on one charge
Environmental Concern,Diesel has to die – there is no reverse gear on this
Environmental Benefit,The Guardian view on electric cars: they’ll change the world
Economic Challenge,"With political will, we could easily solve our transport problems"
Environmental Concern,London should lead in showing electric cars will not tackle air pollution
Environmental Concern,"Electric cars are not the answer to air pollution, says top UK adviser"
Economic Challenge,Tesla Model 3 doesn't have a key – and seven other things we learned
Environmental Concern,Electric cars are pollution shifters: we will need huge investment in generation capacity
Environmental Concern,"As the UK plans to phase out petrol cars, is Australia being left behind?"
Environmental Benefit,Queensland to build one of the world's longest electric vehicle highways
Economic Challenge,Is there enough electricity? National Grid reacts to fossil-fuel vehicle ban
Economic Advantage,'It's the future of motor travel': readers on driving electric vehicles
Environmental Concern,"The Guardian view on air pollution proposals: too little, much too late"
Environmental Benefit,"Fill your Boots basket, but not with condoms"
Economic Challenge,Treasury will need to plug gap in tax as drivers switch to electric cars
Environmental Benefit,Electric cars: everything you need to know
Economic Challenge,What will the car of 2040 be like?
Environmental Benefit,Tell us what it is like to drive an electric car or van where you live
Environmental Benefit,Electric cars may stall without a battery revolution
Environmental Benefit,Our electric car is driving on sunshine
Economic Challenge,"Pay-per-mile road tax plan wins £250,000 Wolfson economics prize"
Economic Advantage,Electric cars to account for all new vehicle sales in Europe by 2035
Economic Challenge,"Electric cars will fuel huge demand for power, says National Grid"
Environmental Benefit,I had that Queen Victoria in the back of my electric cab…
Environmental Benefit,Black cab turns green as all-new electric London taxi launches
Environmental Benefit,First Tesla Model 3 rolls off production line ... into the hands of Elon Musk
Environmental Benefit,Electric car revolution: calculating the cost of green motoring
Environmental Benefit,UK to fund research into letting electric cars return power to grid
Environmental Concern,France to ban sales of petrol and diesel cars by 2040
Environmental Benefit,Volvo signals carmakers' growing confidence in an electric future
Environmental Benefit,All Volvo cars to be electric or hybrid from 2019
Economic Challenge,Tesla teases new Model Y car as cheaper Model 3 nears production
Economic Advantage,Electric cars accelerate past 2m mark globally
Environmental Benefit,"Smaller, lighter, greener: are micro EVs the future of city transport?"
Environmental Benefit,Nissan launches British-made home battery to rival Tesla's Powerwall
Economic Challenge,TfL to spend £18m on preparing London for new electric black cabs
Economic Advantage,Electric flying car that takes off vertically could be future of transport
Environmental Concern,"UK unprepared for surge in electric car use, thinktank warns"
Economic Challenge,Sparks fly on Wall Street over Tesla’s current valuation
Environmental Benefit,"Driverless cars will make our roads safer, says Oxbotica co-founder"
Economic Advantage,Tesla charges ahead to overtake Ford in market value
Environmental Concern,"Fuel duty cut for diesel cars was wrong, says ex-chief science adviser"
Economic Challenge,"Do not let Brexit ruin car industry, urges chair of London Taxi Company"
Economic Advantage,Charge electric cars smartly to take pressure off national grid – minister
Environmental Benefit,Self-driving cars will change cities
Economic Challenge,Buy your new car now to save thousands of pounds ahead of excise hike
Economic Challenge,Eco road trip: Los Angeles to Las Vegas by Tesla
Economic Challenge,Not enough charging points for electric cars; fracking in Scotland economically marginal
Environmental Benefit,Power to the EV: Norway spearheads Europe's electric vehicle surge
Environmental Benefit,UK electric vehicle boom drives new car sales to 12-year high
Economic Challenge,Electric cars and cheap solar 'could halt fossil fuel growth by 2020'
Environmental Concern,"Electric cars will not stem global demand for oil, says BP"
Economic Advantage,"F1’s creativity could benefit society, if only government had more vision"
Environmental Concern,How to reduce your carbon footprint
Environmental Benefit,Reasons to be cheerful: a full switch to low-carbon energy is in sight
Economic Challenge,Twelve things you need to know about driverless cars
Environmental Concern,Renault to be investigated over diesel emissions 'cheating'
Environmental Concern,Dieselgate: UK motorists file class-action suit against VW
Economic Challenge,"Faraday Future takes on Tesla at CES with FF 91, the electric car that can learn"
Environmental Benefit,Why electric cars are only as clean as their power supply
Environmental Benefit,Electric cars as part of the surveillance state
Environmental Benefit,The trolling of Elon Musk: how US conservatives are attacking green tech
Economic Challenge,How electric car drivers are being overcharged
Environmental Benefit,More charge points needed urgently for switch to electric cars
Economic Advantage,Jaguar Land Rover's electric car plans could prove game-changer for industry
Economic Challenge,Business secretary says electric vehicles at heart of industrial strategy
Environmental Benefit,VW shifts focus to electric cars with US expansion plan
Environmental Benefit,Trump's influence on the future of clean energy is less clear than you think
Economic Challenge,Tesla announces new gigafactory in European expansion
Economic Challenge,The costly gridlock: how can we keep our cities moving?
Economic Challenge,Electric cars set to pass 2m landmark globally by end of 2016
Environmental Concern,Investors warn car industry over climate change
Environmental Benefit,Plans for an electric car charging point in every new home in Europe
Economic Advantage,Brighton gears up for new fleet of solar-powered buses
Environmental Concern,DOE charts show why climate doom and gloom isn't needed
Environmental Benefit,Renault says new Zoe has longest range of any mainstream electric car
Environmental Concern,New MIT app: check if your car meets climate targets
Economic Challenge,Electric cars could be charged at Shell service stations from 2017
Environmental Benefit,UK government 'falling behind' on electric car pledge
Economic Challenge,"Electric vehicle charge points to outnumber petrol stations by 2020, say Nissan"
Environmental Benefit,Cheap and clean: Australian company creates hydrogen with near-zero emissions
Environmental Benefit,Nissan Leaf 30kWh Tekna car review – ‘It’s relaxing’
Environmental Benefit,"Is it an e-bike, is it an e-car? No, it’s a bio-hybrid"
Environmental Benefit,The eco guide to electric vehicles
Economic Challenge,What's it like to drive with Tesla's Autopilot and how does it work?
Economic Challenge,Musk's Tesla makes a bid for Musk's SolarCity energy company
Environmental Concern,Tackling pollution: Beijing's electric bikes and buses - in pictures
Environmental Benefit,"Welcome to Formentera, the island that wants all its cars electric"
Environmental Concern,Carmageddon: can electric jeepneys ease Manila's traffic crisis?
Environmental Concern,Getting around the city: why electric rickshaws are the tuk of the town
Environmental Benefit,"Chargers, châteaux and the Channel Tunnel: can you really do a driving holiday in a Tesla?"
Environmental Benefit,"Formula E in Berlin, the world's first fully electric series – a photo essay"
Economic Advantage,Why Elon Musk says Hong Kong will be the 'beacon city' for electric cars
Environmental Benefit,"Dyson could become next Tesla with its electric car, says expert"
Economic Advantage,Japan now has more electric car charge points than petrol stations
Economic Challenge,Is the Tesla 3 the electric car that will change everything?
Environmental Concern,Elon Musk: 'We need a revolt against the fossil fuel industry'
Environmental Concern,VW and Shell accused of trying to block EU push for electric cars
Economic Challenge,Germany to give €1bn subsidy to boost electric car sales
Environmental Concern,"Diesel crisis deepens as German brands recall 630,000 cars"
Economic Challenge,Tesla Model X glitches lock owners out of cars
Economic Challenge,Is Apple's next product an electric car?
Environmental Benefit,New Zealand's largest bus company to retrofit fleet with electric engines
Environmental Benefit,Switch to low-carbon transport could 'save UK billions'
Economic Challenge,Tesla loses latest battle with Ecotricity
Economic Advantage,Tesla Model 3 pre-orders stack up as Elon Musk unveils lower-priced car
Environmental Concern,UK government deletes reference to Dyson electric car plans
Environmental Benefit,"Dyson developing an electric car, according to government documents"
Environmental Benefit,"Seattle's 'aggressive plan' to cut pollution with 15,000 electric vehicles"
Economic Challenge,Construction workers walk off Tesla's new Reno site in protest over pay
Environmental Benefit,The innovators: Skeleton car that is driving open-source design
Economic Challenge,Inside Faraday Future: is it really a big player in the future of electric cars?
Economic Advantage,Electric cars 'will be cheaper than conventional vehicles by 2022'
Economic Advantage,Aston Martin sets up electric car joint venture with Chinese group
Economic Challenge,Paris to launch electric moped hire scheme
Environmental Benefit,"E-bikes are reliable and healthy, so why aren't more people riding them?"
Environmental Benefit,Electric cars to use bus lanes in UK cities
Economic Challenge,"Detroit Motor Show day one: coupes, cabriolets and concept cars – in pictures"
Environmental Concern,Electric cars won't save our cities
Economic Challenge,UK demand soars for electric and hybrid vehicles
Environmental Concern,VW 'close to agreement with US regulators' over emissions scandal
Environmental Benefit,Ethical spending rose in 2014 but solar cuts could hit this year's figures
Economic Advantage,Plug-in car grant extended to 2018
Economic Advantage,Jaguar to join Formula E championship
Economic Challenge,Ford to invest £3bn in electric cars
Economic Challenge,Industrial designers predict the future of transportation in 100 years
Economic Challenge,Industrial designers predict the future of transportation in 50 years
Environmental Benefit,Elon Musk says robust carbon tax would speed global clean energy transition
